Policy: 
state -> action, value-function
0:1:0:1:0:0:0:1 -> PS, 45.1043690601
0:0:1:1:0:0:0:1 -> PS, 62.07436845
0:0:1:1:0:0:0:0 -> PS, 91.6981990308
1:0:0:0:1:0:1:0 -> WE, 49.4746149475
1:1:0:0:1:1:1:0 -> WE, 43.3761776172
1:1:0:0:1:1:1:1 -> WE, 47.0319077577
1:0:0:0:1:0:1:1 -> WE, 49.4746149475
0:0:0:0:0:0:0:0 -> PS, 51.0047643454
0:0:0:0:0:1:1:1 -> WE, 50.6458395416
0:1:1:0:0:1:0:0 -> PS, 64.8857043485
0:1:1:0:0:1:0:1 -> PS, 63.8835308569
1:0:1:1:0:0:0:0 -> PS, 70.2148812181
1:0:1:1:0:0:0:1 -> PS, 59.7974506523
0:1:0:1:1:0:0:0 -> PS, 11.9477901742
1:0:1:1:0:1:1:1 -> PS, 114.919785394
1:1:0:1:1:1:1:0 -> WE, 43.3761776172
1:1:0:0:0:0:1:0 -> PS, 40.78947368
1:1:0:0:0:0:1:1 -> WE, 50.7853069526
0:0:0:0:0:0:1:1 -> PS, 32.3757189414
0:1:0:1:1:0:1:1 -> PS, 47.6794306844
1:1:0:1:1:1:1:1 -> WE, 42.8308435263
0:1:0:0:0:0:1:0 -> PS, 43.6032604594
1:0:1:0:1:1:0:1 -> PS, 44.3605070537
0:1:1:1:0:0:0:0 -> PS, 47.1944347373
0:0:0:1:0:1:0:1 -> PS, 65.6752598525
0:0:0:1:0:0:0:1 -> PS, 58.3334076025
1:1:0:1:1:1:0:1 -> WE, 42.8308435263
1:0:0:1:1:1:0:1 -> PS, 38.9397159655
1:0:0:0:0:0:0:0 -> PS, 56.2741401065
1:1:1:1:1:0:0:0 -> WE, 45.1015690008
1:1:1:1:1:0:0:1 -> WE, 43.3761776172
1:0:0:0:0:0:0:1 -> PS, 56.8939804554
1:0:1:1:1:0:1:1 -> PS, 96.4579018903
0:0:0:1:1:0:0:1 -> PS, 62.5384597308
0:1:1:0:0:0:0:0 -> PS, 58.1209384281
1:1:0:0:0:1:1:1 -> WE, 50.2583996507
1:1:0:0:0:1:1:0 -> WE, 50.6458395416
0:0:0:0:1:1:0:1 -> PS, 52.7985504676
1:0:0:1:0:0:0:0 -> WE, 50.2193840012
1:1:1:0:0:1:0:0 -> PS, 45.5803202171
1:1:1:1:0:1:0:0 -> PS, 84.2363909864
1:1:1:1:0:1:0:1 -> PS, 79.0030382673
1:0:0:1:0:0:0:1 -> PS, 74.4585121214
1:1:1:1:0:0:1:1 -> PS, 85.5036736251
0:1:0:0:0:1:0:1 -> WE, 50.0145292925
0:1:0:0:0:0:0:1 -> WE, 50.7388178156
1:0:1:1:1:1:1:1 -> PS, 116.519818347
1:0:1:1:1:1:1:0 -> WE, 45.0406834129
1:0:1:1:0:0:1:1 -> PS, 85.5036736251
0:1:1:1:1:1:0:0 -> WE, 49.4746149475
1:1:0:0:1:0:1:1 -> PS, 44.3605070537
