reward,cumul_SystemInfoHintCount,cumul_NextStepClickCountWE,deletedApp,ruleScoreABS,CurrPro_NumProbRule,avgstepTimePS,cumul_F1Score,session
-17.3207146936444,0,18,0,0.01,6,6.572825,0.363636364,3
0,0,8,0,0.011597411,4,5.730519118,0.268913966,3
0,0,8,1,0.01,5,7.552567164,0.384615385,3
107.572815533981,0,8,0,0.01,5,6.323444444,0.449438202,4
0,0,7,0,0.011597411,5,5.730519118,0.268913966,4
0,0,16,0,0.011597411,6,5.730519118,0.268913966,4
-133.205741626794,0,16,29,0.024655882,5,5.705823009,0.320241692,4
0,0,0,0,0.024655882,6,5.463666667,0.347826087,5
0,0,2,0,0.011597411,5,5.730519118,0.275862069,5
133.205741626794,0,2,0,0.024655882,8,5.730519118,0.268913966,5
0,6,0,4,0.01,3,10.48111642,0.12979351,1
0,6,5,0,0.011597411,3,5.730519118,0.128279883,4
0,6,10,0,0.011597411,4,5.730519118,0.126801153,4
-65.1315789473684,6,10,0,0.01,4,7.266284722,0.142857143,4
0,0,0,1,0.01,4,9.731072165,0.3,8
0,0,5,0,0.011597411,4,0.006,0.285714286,8
132.862671384343,0,5,0,0.01,4,7.108041667,0.348623853,8
0,0,0,3,0.01,4,8.118855422,0.297297297,8
0,0,11,0,0.011597411,6,5.730519118,0.268292683,8
-95.6922574855184,0,11,4,0.01,6,6.733432692,0.325842697,8
0,0,0,3,0.01,4,5.763147368,0.333333333,9
0,0,8,0,0.011597411,5,5.730519118,0.307692308,10
34.9254507628294,0,8,1,0.01,5,5.559738095,0.24,10
0,0,7,0,0.011597411,5,5.730519118,0.268913966,10
0,0,16,0,0.011597411,6,5.730519118,0.268913966,10
-66.9642857142858,0,16,50,0.011551155,5,6.553191661,0.176860722,10
0,0,0,1,0.011551155,6,5.45643662,0.317460317,10
0,0,2,0,0.011597411,5,5.730519118,0.289855072,10
70.0934579439252,0,2,2,0.011551155,8,5.633,0.317647059,10
0,2,0,0,0.01,3,11.340225,0.303030303,1
0,2,4,0,0.011597411,3,0.005,0.27027027,1
0,2,9,0,0.011597411,4,5.730519118,0.243902439,1
-17.7631578947368,6,9,0,0.01,4,4.940846847,0.351351351,1
0,0,0,0,0.01,4,15.97311111,0.1875,5
0,0,5,0,0.011597411,4,39.975,0.176470588,6
0,0,5,0,0.01,4,14.81094118,0.227272727,6
0,0,5,0,0.01,4,12.493,0.18487395,6
0,0,5,0,0.01,4,14.97923529,0.217687075,6
